,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
0,Classification décimale universelle : édition abrégée /,,9782871303336; 2871303339,Ed du CEFAL,Classification décimale universelle; Indexation (documentation); classification décimale universelle--[tables]; Book Classification; Reference Books; Outline,0,Classification décimale universelle : édition abrégée,classification décimale universelle indexation documentation universelle--tables book reference books outline,,Classification décimale universelle : édition abrégée  classification décimale universelle indexation documentation universelle--tables book reference books outline
1,Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,"Cicurel, Francine, 1947-",9782278058327; 2278058320,Didier,didactique--langue étrangère - enseignement; didactique--langue - enseignement,1,Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe,didactique--langue étrangère - enseignement,cicurel francine -,Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe cicurel francine - didactique--langue étrangère - enseignement
2,Histoire de vie et recherche biographique : perspectives sociohistoriques /,,2343190194; 9782343190198,L'Harmattan,Histoires de vie en sociologie; Sciences sociales--Méthodologie; Actes de congrès,2,Histoire de vie et recherche biographique : perspectives sociohistoriques,histoires vie sociologie sciences sociales--méthodologie actes congrès,,Histoire de vie et recherche biographique : perspectives sociohistoriques  histoires vie sociologie sciences sociales--méthodologie actes congrès
3,"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /","Mazas, Sylvain, 1980-",9782365350020; 236535002X; 9782365350488; 2365350488,Vraoum!,Moyen-Orient; Bandes dessinées autobiographiques; Bandes dessinées,3,"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme",moyen-orient bandes dessinées autobiographiques,mazas sylvain -,"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme mazas sylvain - moyen-orient bandes dessinées autobiographiques"
4,Les années glorieuses : roman /,"Lemaitre, Pierre, 1951-",9782702180815; 2702180817; 9782702183618; 2702183611,Calmann-Lévy,France--1945-1975; Roman historique; Roman français; Littérature française,4,Les années glorieuses : roman,france--- roman historique français littérature française,lemaitre pierre -,Les années glorieuses : roman lemaitre pierre - france--- roman historique français littérature française
5,100 idées pour mieux gérer les troubles de l'attention /,"Lussier, Francine",9782353450428; 2353450423,Tom Pousse,Trouble déficitaire de l'attention avec ou sans hyperactivité; Enfants atteints de troubles de l'attention; Enfants hyperactifs; Guides pratiques,5,100 idées pour mieux gérer les troubles de l'attention,trouble déficitaire lattention hyperactivité enfants atteints troubles hyperactifs guides pratiques,lussier francine,100 idées pour mieux gérer les troubles de l'attention lussier francine trouble déficitaire lattention hyperactivité enfants atteints troubles hyperactifs guides pratiques
6,La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,"Bouchut, Fabienne",9782100806614; 2100806610; 9782100846023; 2100846027,Dunod,Formateurs (éducation des adultes)--Formation.; Personnel--Formation.; Animateurs de formation.; Guides pratiques.,6,La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast,formateurs éducation adultes--formation personnel--formation animateurs formation guides pratiques,bouchut fabienne,La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast bouchut fabienne formateurs éducation adultes--formation personnel--formation animateurs formation guides pratiques
7,L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,"Robbes, Bruno",9782710121152; 2710121158,ESF éd,autorité--relation maître-élève; autorité--enseignement primaire,7,L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer,autorité--relation maître-élève autorité--enseignement primaire,robbes bruno,L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer robbes bruno autorité--relation maître-élève autorité--enseignement primaire
8,Un autre regard sur le climat /,Emma dessinatrice 1981-....,9.7911E+12,Massot,Climat--Détérioration; Bandes dessinées,8,Un autre regard sur le climat,climat--détérioration bandes dessinées,emma dessinatrice -,Un autre regard sur le climat emma dessinatrice - climat--détérioration bandes dessinées
9,Le mirage de la croissance verte /,"Auffret, Anthony",9782413043591; 2413043594,Delcourt,Développement économique--Aspect environnemental; Développement durable--Aspect environnemental; Bandes dessinées,9,Le mirage de la croissance verte,développement économique--aspect environnemental durable--aspect bandes dessinées,auffret anthony,Le mirage de la croissance verte auffret anthony développement économique--aspect environnemental durable--aspect bandes dessinées
10,Vieille fille : une proposition /,"Kock, Marie",9782348072765; 2348072769,La Découverte,Célibataires; Femmes; Jeunes femmes; Sociologie; Sexualité; [Récits personnels],10,Vieille fille : une proposition,célibataires femmes jeunes sociologie sexualité récits personnels,kock marie,Vieille fille : une proposition kock marie célibataires femmes jeunes sociologie sexualité récits personnels
11,Rendre les élèves acteurs de leurs apprentissages /,"Béal, Yves",9782206013725; 220601372X,Delagrave,apprentissage (psychologie)--enfant; apprentissage (psychologie)--didactique--élève--enseignement,11,Rendre les élèves acteurs de leurs apprentissages,apprentissage psychologie--enfant psychologie--didactique--élève--enseignement,béal yves,Rendre les élèves acteurs de leurs apprentissages béal yves apprentissage psychologie--enfant psychologie--didactique--élève--enseignement
12,L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,"Larmer, John",9782765033202; 276503320X,Chenelière éducation,apprentissage (psychologie)--enseignement secondaire--pédagogie du projet; Enseignement - Méthode des projets; Enseignement secondaire; Méthodes actives; Enseignement en équipe; Enseignement - Travail de groupe,12,L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves,apprentissage psychologie--enseignement secondaire--pédagogie projet enseignement - méthode projets secondaire méthodes actives équipe travail groupe,larmer john,L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves larmer john apprentissage psychologie--enseignement secondaire--pédagogie projet enseignement - méthode projets secondaire méthodes actives équipe travail groupe
13,Pour une pédagogie du projet /,"Bordalo, Isabelle",9782011709219; 2011709210,Hachette éducation,Enseignement--Méthode des projets,13,Pour une pédagogie du projet,enseignement--méthode projets,bordalo isabelle,Pour une pédagogie du projet bordalo isabelle enseignement--méthode projets
14,Une classe qui coopère : pourquoi ? comment ? /,"Staquet, Christian",9782850084324; 2850084328,Chronique sociale,apprentissage (psychologie)--classe (enseignement)--coopération--élève,14,Une classe qui coopère : pourquoi ? comment ?,apprentissage psychologie--classe enseignement--coopération--élève,staquet christian,Une classe qui coopère : pourquoi ? comment ? staquet christian apprentissage psychologie--classe enseignement--coopération--élève
15,Penser le projet : concepts et outils d'une pédagogie émancipatrice /,"Tilman, Francis",2850085510; 9782850085512,Chronique sociale,pédagogie de la maîtrise,15,Penser le projet : concepts et outils d'une pédagogie émancipatrice,pédagogie maîtrise,tilman francis,Penser le projet : concepts et outils d'une pédagogie émancipatrice tilman francis pédagogie maîtrise
16,Pays-Bas /,"Williams, Nicola",9782816195590; 2816195597,Lonely planet,Pays-Bas; Guides touristiques et de visite,16,Pays-Bas,pays-bas guides touristiques visite,williams nicola,Pays-Bas williams nicola pays-bas guides touristiques visite
17,Amsterdam : balades urbaines /,"Vanderhaeghe, Katherine",9782016256336; 2016256338,Hachette,Amsterdam (Pays-Bas); Guides touristiques et de visite,17,Amsterdam : balades urbaines,amsterdam pays-bas guides touristiques visite,vanderhaeghe katherine,Amsterdam : balades urbaines vanderhaeghe katherine amsterdam pays-bas guides touristiques visite
18,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",,9782017884026; 2017884022,Hachette Livre,"Amsterdam (Pays-Bas); Amsterdam (Pays-Bas, région); Rotterdam (Pays-Bas); Delft (Pays-Bas); La Haye (Pays-Bas); [Guides touristiques et de visite]",18,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025",amsterdam pays-bas région rotterdam delft haye guides touristiques visite,,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025  amsterdam pays-bas région rotterdam delft haye guides touristiques visite"
19,Pays-Bas,,9782067257863; 2067257862,Michelin,Pays-Bas; Guides touristiques et de visite,19,Pays-B,pays-bas guides touristiques visite,,Pays-B  pays-bas guides touristiques visite
20,Amsterdam /,"Catling, Christopher",9782822902526; 2822902526,National geographic,Amsterdam (Pays-Bas); [Guides touristiques et de visite],20,Amsterdam,amsterdam pays-bas guides touristiques visite,catling christopher,Amsterdam catling christopher amsterdam pays-bas guides touristiques visite
21,Histoire des Etats-Unis /,"Durpaire, François",9782715413801; 2715413807,Presses Universitaires de France,États-Unis--Histoire,21,Histoire des Etats-Unis,états-unis--histoire,durpaire françois,Histoire des Etats-Unis durpaire françois états-unis--histoire
22,"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /","Gluck, Marion",9782035993250; 2035993253,Larousse,Santé mentale; Hormones femelles; Femmes--Santé et hygiène,22,"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux",santé mentale hormones femelles femmes--santé hygiène,gluck marion,"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux gluck marion santé mentale hormones femelles femmes--santé hygiène"
23,C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,"Winckler, Martin",9782378801267; 2378801262,L'Iconoclaste,Women's Health; Sexuality; Reproductive Physiological Phenomena; Contraception; Professional-Patient Relations; Sexualité féminine; Vie sexuelle--Femmes; Féminité; Femmes--Santé et hygiène; Gynécologie; Guides pratiques,23,C'est mon corps : toutes les questions que se posent les femmes sur leur santé,womens health sexuality reproductive physiological phenomena contraception professional-patient relations sexualité féminine vie sexuelle--femmes féminité femmes--santé hygiène gynécologie guides pratiques,winckler martin,C'est mon corps : toutes les questions que se posent les femmes sur leur santé winckler martin womens health sexuality reproductive physiological phenomena contraception professional-patient relations sexualité féminine vie sexuelle--femmes féminité femmes--santé hygiène gynécologie guides pratiques
