,Title,Author,ISBN Valid,Publisher,Subjects,i,description,categories,average_rating,ratings_count,page_count,language
0,Classification décimale universelle : édition abrégée /,,9782871303336; 2871303339,Ed du CEFAL,Classification décimale universelle; Indexation (documentation); classification décimale universelle--[tables]; Book Classification; Reference Books; Outline,0,,,,,449.0,fr
1,Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,"Cicurel, Francine, 1947-",9782278058327; 2278058320,Didier,didactique--langue étrangère - enseignement; didactique--langue - enseignement,1,"C'est dans l'interaction en classe que s'actualise l'action d'un enseignant mais elle s'édifie également au sein de contextes éducatifs et de cultures éducatives variés. Cette étude vise à mieux faire comprendre comment les pratiques de transmission se construisent dans l'enseignement des langues. Elle met en lumière l'importance à accorder aux intentions d'agir, aux motifs de l'action enseignante, aux répertoires didactiques des enseignants. A partir d'observations d'interactions en classes de langue et de paroles d'enseignants sur leur action, ce livre introduit à l'agir professoral, entendu comme l'ensemble des actions verbales et non verbales que met en place un professeur pour transmettre et communiquer des savoirs. L'ouvrage est conçu pour que les enseignants et les futurs enseignants découvrent leur propre culture professorale, une culture où coexistent principes, croyances, désirs, expériences, idéalisations.",Interaction analysis in education,,,287.0,fr
2,Histoire de vie et recherche biographique : perspectives sociohistoriques /,,2343190194; 9782343190198,L'Harmattan,Histoires de vie en sociologie; Sciences sociales--Méthodologie; Actes de congrès,2,"Depuis la parution en 1918 de l'ouvrage fondateur The Polish Peasant in Europe and America : Monograph of an Immigrant Group de William Thomas et Florian Znaniecki, un puissant courant de recherche s'est déployé à partir des récits de vie. La vitalité de ce paradigme est réfléchie selon différentes perspectives sociohistoriques dans cet ouvrage qui comporte trois parties. La première est l'occasion d'un retour sur les sources des approches narratives et biographiques dans le champ des sciences humaines et sociales, depuis les premiers travaux de Thomas et Znaniecki et de l'École de Chicago. La seconde est dédiée aux approches (auto)biographiques mobilisées dans les domaines de la recherche, de l'intervention et de la formation, tandis que la troisième est plus spécifiquement dédiée aux recherches qui mobilisent le récit et les histoires de vie, en s'intéressant notamment aux phénomènes de compréhension générés par le récit. Au gré des chapitres, le lecteur pourra percevoir et comprendre la diversité et la cohérence des courants, approches et terrains de la recherche qui mobilisent les méthodes biographiques et narratives. Ce livre collectif est le produit d'une recherche internationale sur la vitalité historique des approches narratives et biographiques. Il résulte également de deux colloques scientifiques qui ont été organisés en 2018 : Vitalités des approches biographiques (Université de Basse-Silésie à Wroclaw, Pologne) et Les sciences sociales à l'épreuve du terrain. Logique d'enquête, approches narratives et dynamiques coopératives depuis l'école de Chicago (Université de Tours, France). Il s'inscrit aussi dans la dynamique de réseaux associatifs de recherche-formation : ASIHVIF (Association internationale des Histoires de vie et Recherche Biographique en Éducation) et Biograph (Associação Brasileira de Pesquisa (Auto) Biográfica).",Narrative inquiry (Research method),,,311.0,fr
3,"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /","Mazas, Sylvain, 1980-",9782365350020; 236535002X; 9782365350488; 2365350488,Vraoum!,Moyen-Orient; Bandes dessinées autobiographiques; Bandes dessinées,3,,,,,200.0,fr
4,Les années glorieuses : roman /,"Lemaitre, Pierre, 1951-",9782702180815; 2702180817; 9782702183618; 2702183611,Calmann-Lévy,France--1945-1975; Roman historique; Roman français; Littérature française,4,"Trois histoires d'amour, un lanceur d'alerte, une adolescente égarée, deux processions, Bouddha et Confucius, un journaliste ambitieux, une mort tragique, le chat Joseph, une épouse impossible, le retour du passé, un parfum d'exotisme, une passion soudaine et irrésistible. Et quelques meurtres",French literature,,,586.0,fr
5,100 idées pour mieux gérer les troubles de l'attention /,"Lussier, Francine",9782353450428; 2353450423,Tom Pousse,Trouble déficitaire de l'attention avec ou sans hyperactivité; Enfants atteints de troubles de l'attention; Enfants hyperactifs; Guides pratiques,5,"Chaque jour, les parents et les enseignants sont confrontés aux problèmes que posent ces enfants inattentifs, impulsifs et hyperactifs. 100 idées pour comprendre les enjeux de ce trouble et organiser un environnement favorable. 100 idées qui constitueront une aide pertinente et concrète pour survivre à l’essoufflement que parents et enseignants ressentent lorsqu’ils sont aux prises avec l’enfant ou l’adolescent qui souffre d’un TDA/H (trouble du déficit d’attention avec ou sans hyperactivité), diagnostiqué ou non. Francine LUSSIER, docteur en neuropsychologie de l'Université de Montréal, neuropsychologue clinicienne à l'hôpital Sainte-Justine, a fondé le Centre d'Évaluation Neuropsychologique et d'Orientation Pédagogique (CÉNOP) en 1994. Elle est également l'autreur nombreux ouvrage, dont Mon enfant est difficile, chez le même éditeur.",Education,,,176.0,fr
6,La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,"Bouchut, Fabienne",9782100806614; 2100806610; 9782100846023; 2100846027,Dunod,Formateurs (éducation des adultes)--Formation.; Personnel--Formation.; Animateurs de formation.; Guides pratiques.,6,,,,,200.0,fr
7,L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,"Robbes, Bruno",9782710121152; 2710121158,ESF éd,autorité--relation maître-élève; autorité--enseignement primaire,7,"Tout enseignant, tout éducateur se doit d'exercer une autorité. Aucun d'entre eux, d'ailleurs, ne souhaite délibérément abdiquer son autorité ! Pour autant, les injonctions à la "" restauration "" de l'autorité traditionnelle paraissent bien dérisoires dès lors qu'elles ne s'accompagnent ni d'une réflexion sur la nature de cette autorité, ni d'un travail sur les moyens de l'exercer à bon escient. L'ouvrage de Bruno Robbes rompt tout autant avec les lamentations passéistes sur un âge d'or de l'autorité qu'avec les préconisations simplistes sur "" la tenue de classe "". L'auteur s'efforce, en revanche, de comprendre comment une autorité peut être véritablement éducative. Il souligne la nécessité de dépasser l'opposition entre contrainte et liberté afin de construire des situations où l'élève consent à s'impliquer dans ce qui lui est proposé pour accéder aux savoirs qui lui permettront de s'émanciper. Il montre aussi que cette autorité requiert une éthique professionnelle qui la rend, tout à la fois, légitime et praticable. Mais l'originalité de ce livre tient aussi dans la manière dont il s'appuie sur des situations concrètes qui, de la maternelle au lycée, permettent de comprendre où se situent les problèmes d'autorité, comment les analyser et les surmonter. Grâce à ces situations, où l'on reconnaîtra le quotidien de notre école, le lecteur pourra non seulement identifier les enjeux de l'autorité éducative aujourd'hui, mais aussi voir comment on peut concrètement s'y prendre pour y faire face. Sans dramatiser ni s'épuiser. Et même en trouvant du plaisir à enseigner ! Philippe Meirieu",,,,265.0,fr
8,Un autre regard sur le climat /,Emma dessinatrice 1981-....,9.7911E+12,Massot,Climat--Détérioration; Bandes dessinées,8,,,,,,
9,Le mirage de la croissance verte /,"Auffret, Anthony",9782413043591; 2413043594,Delcourt,Développement économique--Aspect environnemental; Développement durable--Aspect environnemental; Bandes dessinées,9,,,,,152.0,fr
10,Vieille fille : une proposition /,"Kock, Marie",9782348072765; 2348072769,La Découverte,Célibataires; Femmes; Jeunes femmes; Sociologie; Sexualité; [Récits personnels],10,,,,,0.0,fr
11,Rendre les élèves acteurs de leurs apprentissages /,"Béal, Yves",9782206013725; 220601372X,Delagrave,apprentissage (psychologie)--enfant; apprentissage (psychologie)--didactique--élève--enseignement,11,"Présentation de réflexions et de remarques autour de cette question pédagogique, avec des pistes et des outils. [source inconnue].",Apprentissage par l'action,,,142.0,fr
12,L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,"Larmer, John",9782765033202; 276503320X,Chenelière éducation,apprentissage (psychologie)--enseignement secondaire--pédagogie du projet; Enseignement - Méthode des projets; Enseignement secondaire; Méthodes actives; Enseignement en équipe; Enseignement - Travail de groupe,12,,"Education, Secondary",,,119.0,fr
